,customer_id_nys,sum_samt_0,sum_samt_1,rat_samt,flg_sts
5263,CS029414000125,573,5866,10.237347294938917,1
3252,CS017414000039,536,5465,10.19589552238806,1
4316,CS023515000220,218,2216,10.1651376146789,1
911,CS004414000111,373,3776,10.123324396782841,1
6299,CS035415000049,214,2161,10.098130841121495,1
1707,CS008512000056,200,2018,10.09,1
4419,CS024415000152,398,4014,10.085427135678392,1
2657,CS013615000047,306,3050,9.967320261437909,1
6141,CS034415000206,599,5967,9.96160267111853,1
4266,CS023513000029,140,1379,9.85,1
1855,CS009414000082,204,2002,9.813725490196079,1
2470,CS012515000180,418,4102,9.813397129186603,1
360,CS002414000041,225,2208,9.813333333333333,1
2912,CS015415000186,668,6547,9.800898203592814,1
1864,CS009415000047,876,8494,9.69634703196347,1
5709,CS031515000131,449,4288,9.550111358574611,1
5641,CS031415000228,482,4586,9.514522821576763,1
1589,CS007615000086,368,3501,9.513586956521738,1
2586,CS013415000176,1112,10567,9.502697841726619,1
5778,CS032412000098,156,1480,9.487179487179487,1
3343,CS017515000133,797,7544,9.465495608531995,1
6411,CS037114000001,286,2679,9.367132867132867,1
5035,CS028215000020,250,2333,9.332,1
2247,CS011513000094,370,3437,9.28918918918919,1
5139,CS028514000085,216,2005,9.282407407407407,1
1755,CS008515000183,252,2318,9.198412698412698,1
5532,CS030515000173,263,2411,9.167300380228136,1
4134,CS022514000030,520,4722,9.080769230769231,1
4653,CS025515000053,308,2795,9.074675324675324,1
370,CS002414000133,188,1700,9.042553191489361,1
5845,CS032513000006,226,2010,8.893805309734514,1
4156,CS022515000191,236,2090,8.85593220338983,1
1886,CS009415000230,631,5588,8.855784469096672,1
1933,CS009515000010,665,5869,8.825563909774436,1
1481,CS007414000032,272,2398,8.816176470588236,1
7021,CS040513000093,326,2874,8.815950920245399,1
5353,CS029515000079,320,2808,8.775,1
1417,CS006515000053,839,7321,8.725864123957091,1
4186,CS023114000002,140,1219,8.707142857142857,1
6553,CS037515000041,686,5968,8.699708454810496,1
3709,CS019515000059,330,2859,8.663636363636364,1
4471,CS024515000022,228,1972,8.649122807017545,1
2445,CS012514000014,518,4418,8.528957528957529,1
7030,CS040513000154,378,3207,8.484126984126984,1
5637,CS031415000181,320,2711,8.471875,1
2843,CS015214000012,476,3997,8.397058823529411,1
4239,CS023415000202,272,2276,8.367647058823529,1
5264,CS029414000129,348,2891,8.307471264367816,1
6572,CS037515000187,528,4385,8.304924242424242,1
5533,CS030515000189,1153,9564,8.294882914137034,1
6422,CS037215000051,604,5008,8.291390728476822,1
4248,CS023415000264,374,3088,8.256684491978609,1
3813,CS020414000115,223,1837,8.237668161434977,1
2031,CS010415000009,306,2505,8.186274509803921,1
4359,CS024215000043,310,2536,8.180645161290322,1
3667,CS019415000246,558,4551,8.155913978494624,1
1299,CS005615000098,278,2245,8.075539568345324,1
1693,CS008415000176,303,2427,8.009900990099009,1
6909,CS039615000080,253,2023,7.996047430830039,1
989,CS004415000405,218,1741,7.986238532110092,1
4995,CS027515000081,203,1608,7.921182266009852,1
2967,CS015515000154,348,2725,7.830459770114943,1
3306,CS017513000104,186,1456,7.827956989247312,1
2102,CS010515000015,306,2394,7.823529411764706,1
5159,CS028515000149,671,5223,7.783904619970194,1
4497,CS024605000007,198,1540,7.777777777777778,1
6477,CS037414000080,276,2139,7.75,1
4723,CS026414000014,684,5287,7.72953216374269,1
4562,CS025414000094,326,2511,7.7024539877300615,1
2262,CS011513000181,156,1200,7.6923076923076925,1
4492,CS024515000216,246,1884,7.658536585365853,1
696,CS003415000477,376,2875,7.6462765957446805,1
4406,CS024415000038,368,2797,7.600543478260869,1
4415,CS024415000108,373,2829,7.584450402144772,1
2385,CS012414000027,1140,8623,7.564035087719298,1
4501,CS024615000006,581,4312,7.421686746987952,1
6195,CS034515000130,406,2997,7.3817733990147785,1
5745,CS032215000073,288,2124,7.375,1
3832,CS020415000197,882,6477,7.343537414965986,1
2127,CS011115000004,326,2389,7.328220858895706,1
371,CS002414000142,348,2538,7.293103448275862,1
3084,CS016415000181,811,5895,7.268803945745993,1
2805,CS014515000007,476,3449,7.245798319327731,1
4116,CS022512000132,220,1594,7.245454545454545,1
5508,CS030514000050,383,2765,7.219321148825065,1
1308,CS006215000011,669,4818,7.201793721973094,1
5178,CS028613000027,286,2051,7.171328671328672,1
3424,CS018415000035,628,4472,7.1210191082802545,1
2879,CS015414000061,298,2120,7.114093959731544,1
2954,CS015515000006,421,2986,7.092636579572447,1
6986,CS040415000112,413,2928,7.089588377723971,1
81,CS001414000095,203,1438,7.083743842364532,1
2039,CS010415000104,564,3988,7.070921985815603,1
6525,CS037513000009,205,1441,7.029268292682927,1
3855,CS020513000062,178,1248,7.01123595505618,1
5962,CS033415000069,396,2748,6.9393939393939394,1
6179,CS034514000059,713,4895,6.865357643758766,1
5679,CS031514000033,348,2384,6.850574712643678,1
1868,CS009415000077,443,3031,6.841986455981941,1
4042,CS021615000045,466,3118,6.690987124463519,1
4579,CS025415000071,438,2927,6.6826484018264845,1
2955,CS015515000007,258,1705,6.608527131782946,1
5980,CS033415000248,419,2734,6.5250596658711215,1
1036,CS004513000323,248,1616,6.516129032258065,1
981,CS004415000317,230,1488,6.469565217391304,1
5813,CS032415000016,736,4756,6.461956521739131,1
5465,CS030415000209,624,4020,6.4423076923076925,1
3808,CS020414000084,420,2705,6.440476190476191,1
297,CS002214000043,1022,6579,6.437377690802348,1
637,CS003414000076,423,2723,6.4373522458628845,1
2724,CS014414000064,338,2174,6.431952662721893,1
2461,CS012515000028,658,4212,6.401215805471125,1
3804,CS020414000070,566,3612,6.381625441696113,1
2408,CS012415000115,446,2840,6.367713004484305,1
4482,CS024515000112,226,1438,6.3628318584070795,1
5984,CS033415000262,848,5363,6.324292452830188,1
2894,CS015415000036,228,1431,6.276315789473684,1
312,CS002314000018,348,2183,6.272988505747127,1
4017,CS021612000084,256,1602,6.2578125,1
6507,CS037415000243,1119,6959,6.218945487042002,1
1485,CS007414000056,308,1911,6.204545454545454,1
3523,CS018515000214,632,3916,6.19620253164557,1
7052,CS040515000086,146,904,6.191780821917808,1
3081,CS016415000145,754,4650,6.16710875331565,1
6940,CS040314000066,204,1258,6.166666666666667,1
1567,CS007613000071,376,2309,6.14095744680851,1
1368,CS006415000157,951,5793,6.091482649842272,1
3895,CS020515000188,551,3355,6.088929219600726,1
1148,CS005314000007,143,868,6.06993006993007,1
5736,CS032214000001,672,4064,6.0476190476190474,1
6657,CS038415000040,552,3333,6.038043478260869,1
3262,CS017414000114,1104,6662,6.034420289855072,1
7120,CS043413000004,558,3326,5.960573476702509,1
5844,CS032512000107,516,3074,5.957364341085271,1
6030,CS033514000112,275,1638,5.956363636363636,1
3431,CS018415000121,428,2538,5.929906542056075,1
5347,CS029515000053,208,1232,5.923076923076923,1
6319,CS035505000009,296,1746,5.898648648648648,1
6724,CS038515000145,490,2886,5.889795918367347,1
4588,CS025415000140,386,2262,5.860103626943006,1
2816,CS014515000129,671,3926,5.85096870342772,1
4003,CS021515000153,528,3089,5.850378787878788,1
3331,CS017515000031,368,2146,5.831521739130435,1
2840,CS015212000028,548,3178,5.799270072992701,1
3842,CS020512000086,335,1938,5.785074626865671,1
1542,CS007515000182,622,3591,5.773311897106109,1
2851,CS015314000051,221,1275,5.769230769230769,1
3483,CS018513000170,433,2488,5.745958429561201,1
4843,CS026515000201,876,5030,5.742009132420091,1
6052,CS033515000207,907,5139,5.66593164277839,1
1465,CS007115000006,1534,8653,5.640808344198175,1
5036,CS028215000021,230,1295,5.630434782608695,1
6569,CS037515000163,268,1496,5.582089552238806,1
2596,CS013505000001,276,1537,5.568840579710145,1
2171,CS011412000130,236,1310,5.5508474576271185,1
2598,CS013511000017,416,2300,5.528846153846154,1
4761,CS026415000178,498,2751,5.524096385542169,1
3257,CS017414000073,663,3652,5.508295625942685,1
642,CS003414000138,236,1298,5.5,1
3650,CS019415000076,516,2830,5.484496124031008,1
2419,CS012415000217,208,1138,5.471153846153846,1
7031,CS040513000195,654,3568,5.45565749235474,1
5928,CS033411000030,236,1281,5.427966101694915,1
1209,CS005415000036,188,1019,5.420212765957447,1
2964,CS015515000116,376,2033,5.406914893617022,1
221,CS001515000229,470,2536,5.395744680851064,1
1585,CS007615000068,268,1446,5.395522388059701,1
4413,CS024415000076,248,1329,5.358870967741935,1
3493,CS018514000086,651,3484,5.351766513056836,1
5290,CS029415000216,714,3800,5.322128851540616,1
5614,CS031414000051,1130,6001,5.310619469026548,1
2962,CS015515000083,1100,5829,5.299090909090909,1
2098,CS010514000068,98,519,5.295918367346939,1
3258,CS017414000086,400,2118,5.295,1
412,CS002415000378,186,984,5.290322580645161,1
4155,CS022515000189,196,1034,5.275510204081633,1
131,CS001415000393,536,2825,5.270522388059701,1
3149,CS016515000182,501,2638,5.265469061876248,1
1137,CS005215000024,168,884,5.261904761904762,1
3501,CS018515000037,660,3468,5.254545454545455,1
6833,CS039414000057,646,3388,5.244582043343653,1
1687,CS008415000105,280,1466,5.235714285714286,1
1466,CS007214000007,474,2478,5.227848101265823,1
1810,CS009314000065,550,2864,5.207272727272727,1
3022,CS016314000090,128,666,5.203125,1
7068,CS040613000056,446,2318,5.197309417040358,1
6144,CS034415000237,328,1701,5.185975609756097,1
3078,CS016415000116,1341,6954,5.185682326621924,1
5457,CS030415000125,694,3568,5.141210374639769,1
840,CS004314000014,296,1518,5.128378378378378,1
4496,CS024604000007,363,1858,5.118457300275482,1
2048,CS010415000170,1244,6354,5.107717041800643,1
5953,CS033414000084,528,2688,5.090909090909091,1
2462,CS012515000039,1077,5471,5.0798514391829155,1
6010,CS033513000113,236,1198,5.076271186440678,1
6603,CS038305000004,698,3542,5.074498567335244,1
4814,CS026514000042,659,3338,5.065250379362671,1
4947,CS027505000001,297,1498,5.043771043771044,1
2753,CS014415000201,1084,5463,5.039667896678967,1
2553,CS013414000085,258,1300,5.038759689922481,1
5247,CS029414000005,414,2083,5.031400966183575,1
4220,CS023415000020,794,3990,5.025188916876575,1
4194,CS023215000016,477,2388,5.0062893081761,1
580,CS003215000043,432,2162,5.00462962962963,1
982,CS004415000326,198,988,4.98989898989899,1
5029,CS028113000003,325,1621,4.987692307692308,1
408,CS002415000303,246,1224,4.975609756097561,1
1676,CS008415000010,215,1067,4.962790697674419,1
6331,CS035513000012,220,1079,4.904545454545454,1
2698,CS014411000026,742,3626,4.886792452830188,1
2446,CS012514000017,942,4600,4.883227176220807,1
4635,CS025513000073,246,1199,4.873983739837398,1
6649,CS038414000063,238,1159,4.869747899159663,1
3805,CS020414000072,601,2918,4.855241264559068,1
357,CS002414000030,470,2280,4.851063829787234,1
4141,CS022515000028,1614,7817,4.843246592317224,1
6193,CS034515000123,513,2481,4.83625730994152,1
6531,CS037513000129,265,1281,4.833962264150943,1
1457,CS006615000128,147,708,4.816326530612245,1
1702,CS008415000264,1508,7244,4.803713527851459,1
1438,CS006515000197,426,2041,4.791079812206573,1
6029,CS033514000105,233,1116,4.789699570815451,1
2563,CS013415000035,1978,9458,4.78159757330637,1
2738,CS014415000021,516,2467,4.7810077519379846,1
380,CS002414000221,406,1940,4.778325123152709,1
1851,CS009414000061,496,2368,4.774193548387097,1
3546,CS019214000001,964,4594,4.765560165975104,1
1663,CS008414000033,744,3542,4.760752688172043,1
4143,CS022515000065,1255,5938,4.731474103585658,1
2504,CS013113000004,245,1158,4.726530612244898,1
4902,CS027414000023,406,1916,4.719211822660099,1
3052,CS016414000017,488,2302,4.717213114754099,1
4351,CS024214000009,296,1394,4.70945945945946,1
5524,CS030515000085,448,2095,4.676339285714286,1
6732,CS038515000193,558,2608,4.673835125448028,1
4585,CS025415000126,208,966,4.644230769230769,1
6252,CS035314000033,959,4431,4.62043795620438,1
3462,CS018512000086,148,683,4.614864864864865,1
5699,CS031515000071,626,2877,4.595846645367412,1
2248,CS011513000097,353,1616,4.577903682719547,1
3648,CS019415000072,655,2986,4.558778625954199,1
6500,CS037415000179,1221,5565,4.557739557739557,1
4188,CS023205000002,229,1040,4.541484716157205,1
6867,CS039513000140,316,1435,4.541139240506329,1
5619,CS031414000090,376,1707,4.539893617021277,1
2883,CS015414000107,330,1498,4.539393939393939,1
1849,CS009414000047,594,2688,4.525252525252525,1
5695,CS031515000031,470,2117,4.504255319148936,1
1939,CS009515000068,1534,6885,4.488265971316819,1
2886,CS015414000120,858,3844,4.480186480186481,1
1872,CS009415000090,450,2016,4.48,1
4569,CS025415000008,640,2867,4.4796875,1
4826,CS026515000042,336,1501,4.467261904761905,1
6362,CS035514000102,356,1589,4.463483146067416,1
2211,CS011415000111,268,1196,4.462686567164179,1
6207,CS034515000219,597,2648,4.435510887772194,1
4334,CS023615000060,295,1306,4.4271186440677965,1
2467,CS012515000144,676,2987,4.418639053254438,1
4598,CS025415000218,628,2772,4.414012738853503,1
6880,CS039514000061,198,872,4.404040404040404,1
6378,CS035515000152,208,915,4.399038461538462,1
4320,CS023604000011,376,1650,4.388297872340425,1
3057,CS016414000063,852,3735,4.383802816901408,1
2810,CS014515000085,721,3157,4.378640776699029,1
1691,CS008415000145,1241,5428,4.373892022562449,1
3723,CS019604000003,919,4016,4.3699673558215455,1
6980,CS040415000045,840,3656,4.352380952380952,1
1734,CS008514000085,196,852,4.346938775510204,1
5082,CS028414000097,386,1676,4.341968911917099,1
5963,CS033415000074,318,1380,4.339622641509434,1
6481,CS037415000043,704,3054,4.338068181818182,1
4354,CS024215000009,306,1325,4.330065359477124,1
6388,CS035515000201,774,3342,4.317829457364341,1
4568,CS025415000005,202,868,4.297029702970297,1
5696,CS031515000036,953,4094,4.295907660020986,1
5665,CS031513000048,288,1234,4.284722222222222,1
4472,CS024515000048,783,3351,4.2796934865900385,1
1753,CS008515000165,576,2458,4.267361111111111,1
4621,CS025512000101,168,713,4.244047619047619,1
5548,CS030615000010,110,466,4.236363636363636,1
5147,CS028515000029,370,1563,4.224324324324324,1
3500,CS018515000035,386,1629,4.22020725388601,1
1968,CS010212000032,1248,5256,4.211538461538462,1
1249,CS005513000078,178,748,4.202247191011236,1
1936,CS009515000039,751,3142,4.183754993342211,1
5423,CS030412000172,148,618,4.175675675675675,1
924,CS004414000207,668,2788,4.173652694610778,1
4993,CS027515000065,613,2558,4.172920065252855,1
3507,CS018515000097,751,3131,4.1691078561917445,1
4860,CS026615000106,372,1548,4.161290322580645,1
1504,CS007512000018,236,982,4.161016949152542,1
6582,CS037814000001,433,1797,4.150115473441109,1
3473,CS018513000043,283,1174,4.148409893992933,1
3831,CS020415000192,286,1185,4.143356643356643,1
2549,CS013414000030,1097,4542,4.140382862351869,1
6587,CS038212000026,285,1180,4.140350877192983,1
7115,CS043212000001,663,2742,4.135746606334842,1
2679,CS014215000047,376,1555,4.13563829787234,1
4755,CS026415000149,1568,6458,4.1186224489795915,1
4303,CS023515000118,1498,6146,4.102803738317757,1
5982,CS033415000251,1014,4148,4.090729783037475,1
6019,CS033514000010,270,1104,4.088888888888889,1
3734,CS020105000001,313,1278,4.083067092651757,1
6560,CS037515000106,786,3201,4.072519083969466,1
4065,CS022411000034,368,1498,4.070652173913044,1
4425,CS024415000221,208,846,4.0673076923076925,1
2103,CS010515000024,636,2584,4.062893081761007,1
663,CS003415000091,276,1121,4.061594202898551,1
4974,CS027514000009,613,2489,4.060358890701468,1
6301,CS035415000072,652,2645,4.056748466257669,1
4081,CS022415000062,529,2144,4.052930056710775,1
2557,CS013414000139,956,3865,4.042887029288703,1
490,CS002515000025,258,1043,4.042635658914729,1
1861,CS009415000022,630,2546,4.041269841269841,1
2515,CS013215000045,852,3440,4.037558685446009,1
3637,CS019414000109,198,796,4.02020202020202,1
1259,CS005514000054,398,1599,4.017587939698492,1
6059,CS033614000005,358,1438,4.016759776536313,1
7041,CS040514000055,496,1979,3.9899193548387095,1
420,CS002415000490,308,1228,3.987012987012987,1
6715,CS038515000036,386,1538,3.9844559585492227,1
1664,CS008414000039,1642,6534,3.979293544457978,1
2514,CS013215000044,288,1144,3.9722222222222223,1
5152,CS028515000080,952,3780,3.9705882352941178,1
2195,CS011414000128,298,1181,3.9630872483221475,1
6671,CS038415000181,579,2286,3.948186528497409,1
2845,CS015215000005,1186,4680,3.946037099494098,1
2546,CS013414000012,1230,4850,3.9430894308943087,1
1719,CS008513000099,216,850,3.935185185185185,1
1824,CS009411000065,256,1007,3.93359375,1
6974,CS040414000109,511,2007,3.927592954990215,1
3436,CS018415000141,500,1962,3.924,1
359,CS002414000037,646,2534,3.9226006191950464,1
5026,CS027615000105,200,782,3.91,1
6125,CS034414000102,366,1426,3.8961748633879782,1
3183,CS017212000011,308,1200,3.896103896103896,1
3976,CS021513000119,645,2510,3.891472868217054,1
5448,CS030415000043,376,1456,3.872340425531915,1
677,CS003415000252,186,719,3.8655913978494625,1
3815,CS020415000012,1814,7006,3.862183020948181,1
2051,CS010415000213,1179,4546,3.855810008481764,1
3449,CS018415000239,2774,10684,3.8514780100937274,1
6306,CS035415000125,1478,5684,3.84573748308525,1
4577,CS025415000056,704,2699,3.8338068181818183,1
4488,CS024515000172,338,1292,3.8224852071005917,1
4399,CS024414000099,1430,5443,3.8062937062937063,1
3373,CS018205000001,1098,4178,3.8051001821493626,1
2781,CS014513000109,235,894,3.804255319148936,1
5882,CS032515000151,454,1726,3.801762114537445,1
4478,CS024515000089,628,2365,3.765923566878981,1
2464,CS012515000099,843,3153,3.7402135231316724,1
5796,CS032414000005,468,1750,3.7393162393162394,1
5150,CS028515000043,579,2165,3.7392055267702937,1
5404,CS030311000020,170,635,3.735294117647059,1
5162,CS028515000164,1070,3993,3.7317757009345796,1
1252,CS005513000114,222,826,3.720720720720721,1
6419,CS037214000004,1200,4462,3.7183333333333333,1
1783,CS008815000019,672,2498,3.7172619047619047,1
5171,CS028515000220,626,2326,3.7156549520766773,1
366,CS002414000070,1143,4241,3.710411198600175,1
3981,CS021514000008,2608,9657,3.7028374233128836,1
402,CS002415000226,190,703,3.7,1
1870,CS009415000085,839,3104,3.699642431466031,1
2056,CS010415000251,1012,3744,3.699604743083004,1
293,CS002214000012,126,466,3.6984126984126986,1
6621,CS038315000136,316,1168,3.6962025316455698,1
7082,CS040615000114,337,1245,3.6943620178041545,1
6315,CS035415000213,1805,6659,3.689196675900277,1
5521,CS030515000075,1368,5039,3.6834795321637426,1
4583,CS025415000107,504,1856,3.6825396825396823,1
6887,CS039515000050,356,1308,3.6741573033707864,1
3143,CS016515000119,544,1997,3.670955882352941,1
6795,CS039315000038,400,1468,3.67,1
2556,CS013414000138,1712,6276,3.6658878504672896,1
3004,CS016214000004,1171,4281,3.6558497011101623,1
1424,CS006515000079,618,2258,3.6537216828478964,1
2708,CS014412000201,328,1198,3.652439024390244,1
1418,CS006515000054,208,759,3.6490384615384617,1
192,CS001514000067,686,2502,3.6472303206997085,1
104,CS001415000107,388,1415,3.6469072164948453,1
1441,CS006605000001,756,2751,3.638888888888889,1
6996,CS040415000200,1791,6512,3.635957565605807,1
6009,CS033513000089,1230,4461,3.626829268292683,1
6526,CS037513000011,216,782,3.6203703703703702,1
6872,CS039513000178,686,2481,3.616618075801749,1
764,CS003515000109,276,998,3.6159420289855073,1
4742,CS026415000038,612,2196,3.588235294117647,1
3632,CS019414000072,202,724,3.5841584158415842,1
7102,CS041515000001,416,1490,3.581730769230769,1
2636,CS013515000102,393,1404,3.572519083969466,1
1722,CS008513000130,336,1198,3.5654761904761907,1
2750,CS014415000151,1338,4764,3.5605381165919283,1
2338,CS012214000018,961,3410,3.5483870967741935,1
4340,CS023815000008,416,1476,3.548076923076923,1
1119,CS004815000019,662,2332,3.5226586102719035,1
3440,CS018415000158,318,1120,3.5220125786163523,1
2018,CS010414000008,1269,4469,3.52167060677699,1
2055,CS010415000246,974,3430,3.521560574948665,1
1875,CS009415000127,418,1472,3.521531100478469,1
4917,CS027414000109,1611,5671,3.520173805090006,1
2343,CS012215000039,1400,4925,3.517857142857143,1
3218,CS017315000050,276,968,3.5072463768115942,1
5259,CS029414000110,664,2328,3.5060240963855422,1
2850,CS015314000022,458,1603,3.5,1
6565,CS037515000132,862,3012,3.4941995359628772,1
5497,CS030513000108,426,1488,3.492957746478873,1
1951,CS009515000147,1309,4567,3.488922841864018,1
4306,CS023515000140,534,1863,3.4887640449438204,1
5127,CS028513000141,1464,5106,3.487704918032787,1
7091,CS041115000001,1295,4511,3.4833976833976834,1
111,CS001415000177,346,1202,3.4739884393063583,1
6850,CS039415000197,1256,4350,3.463375796178344,1
6203,CS034515000182,1571,5434,3.4589433481858687,1
2340,CS012214000026,484,1672,3.4545454545454546,1
6496,CS037415000145,471,1623,3.445859872611465,1
5981,CS033415000249,692,2382,3.4421965317919074,1
4072,CS022414000065,1012,3483,3.441699604743083,1
6284,CS035414000020,944,3243,3.4353813559322033,1
6490,CS037415000106,1162,3991,3.4345955249569706,1
1670,CS008414000057,2061,7078,3.4342552159146047,1
3996,CS021515000089,2424,8319,3.4319306930693068,1
1876,CS009415000128,1034,3524,3.4081237911025144,1
2396,CS012415000051,550,1874,3.4072727272727272,1
5685,CS031514000075,317,1078,3.4006309148264986,1
3902,CS020515000223,646,2196,3.3993808049535605,1
3140,CS016515000097,245,831,3.3918367346938774,1
1498,CS007511000014,236,800,3.389830508474576,1
3268,CS017415000083,1271,4298,3.381589299763965,1
4449,CS024513000162,622,2100,3.3762057877813505,1
983,CS004415000337,118,396,3.3559322033898304,1
5352,CS029515000078,499,1671,3.3486973947895793,1
4940,CS027415000133,1604,5358,3.3403990024937658,1
1579,CS007615000035,1241,4141,3.3368251410153102,1
4035,CS021614000026,586,1948,3.324232081911263,1
204,CS001515000040,376,1248,3.3191489361702127,1
1662,CS008414000023,808,2666,3.2995049504950495,1
1728,CS008513000193,506,1666,3.292490118577075,1
5945,CS033414000018,250,823,3.292,1
2818,CS014515000182,318,1046,3.289308176100629,1
3766,CS020411000014,696,2288,3.2873563218390807,1
2791,CS014514000003,350,1143,3.2657142857142856,1
3064,CS016415000013,651,2125,3.2642089093701996,1
1976,CS010215000068,358,1168,3.2625698324022347,1
6670,CS038415000180,436,1422,3.261467889908257,1
4945,CS027415000246,556,1813,3.2607913669064748,1
2029,CS010414000096,1381,4502,3.2599565532223025,1
2194,CS011414000118,226,735,3.252212389380531,1
3427,CS018415000064,1126,3658,3.2486678507992894,1
4228,CS023415000079,306,994,3.2483660130718954,1
1937,CS009515000042,358,1160,3.2402234636871508,1
5262,CS029414000118,468,1514,3.235042735042735,1
5442,CS030415000025,508,1642,3.232283464566929,1
3809,CS020414000094,1265,4085,3.2292490118577075,1
4575,CS025415000050,1034,3332,3.2224371373307545,1
2584,CS013415000162,1149,3702,3.2219321148825064,1
3479,CS018513000143,380,1223,3.218421052631579,1
2762,CS014512000015,265,851,3.211320754716981,1
3089,CS016415000228,1114,3575,3.2091561938958706,1
990,CS004415000413,365,1170,3.2054794520547945,1
3007,CS016214000027,528,1692,3.2045454545454546,1
3749,CS020215000024,1475,4705,3.1898305084745764,1
3634,CS019414000089,886,2823,3.1862302483069977,1
4756,CS026415000150,814,2590,3.1818181818181817,1
3350,CS017515000183,250,795,3.18,1
3510,CS018515000114,638,2028,3.1786833855799372,1
3328,CS017515000002,463,1471,3.1771058315334773,1
4737,CS026414000097,1448,4595,3.173342541436464,1
2806,CS014515000039,634,2010,3.170347003154574,1
2559,CS013415000009,909,2881,3.1694169416941693,1
3707,CS019515000046,588,1859,3.1615646258503403,1
4868,CS027211000005,145,458,3.1586206896551725,1
6255,CS035315000018,346,1091,3.153179190751445,1
6494,CS037415000139,278,876,3.1510791366906474,1
4704,CS026314000043,498,1568,3.1485943775100402,1
917,CS004414000167,744,2341,3.146505376344086,1
3503,CS018515000047,1131,3558,3.145888594164456,1
5418,CS030411000063,248,780,3.1451612903225805,1
1545,CS007515000212,772,2428,3.145077720207254,1
6733,CS038515000197,791,2481,3.13653603034134,1
3658,CS019415000154,941,2950,3.1349628055260363,1
